id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.31e+18,2020-09-27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@kylegriffin1 Although the hard of hearing might actually be better served by not understanding the lies being spew… https://t.co/Ws0ED4iIcX,en,0.0,9.0,abbeyalways,,kylegriffin1,,@ ky leg r iffin 1 ĠAlthough Ġthe Ġhard Ġof Ġhearing Ġmight Ġactually Ġbe Ġbetter Ġserved Ġby Ġnot Ġunderstanding Ġthe Ġlies Ġbeing Ġspew âĢ¦ Ġhttps :// t . co / Ws 0 ED 4 i I c X,0.3612,0.114,0.65,0.236,pos,"['@ ky leg r iffin 1 ĠAlthough Ġthe Ġhard Ġof Ġhearing Ġmight Ġactually Ġbe Ġbetter Ġserved Ġby Ġnot Ġunderstanding Ġthe Ġlies Ġbeing Ġspew âĢ¦ Ġhttps :// t . co / Ws 0 ED 4 i I c X', ('infection', 0.46465569734573364), ('vaccine', 0.3418672978878021), ('death', 0.19347700476646423)]"
1.3e+18,2020-09-03,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Minnesotan Who Was At Sturgis Rally Dies From COVID-19 https://t.co/r86QsyoRXx,en,1.0,0.0,KROCNews,,,"Rochester, MN",Min nes ot an ĠWho ĠWas ĠAt ĠSt urg is ĠRally ĠD ies ĠFrom ĠCO VID - 19 Ġhttps :// t . co / r 86 Q sy o R X x,0.0,0.0,1.0,0.0,neu,"['Min nes ot an ĠWho ĠWas ĠAt ĠSt urg is ĠRally ĠD ies ĠFrom ĠCO VID - 19 Ġhttps :// t . co / r 86 Q sy o R X x', ('death', 0.4290214776992798), ('vaccine', 0.3326038718223572), ('infection', 0.23837465047836304)]"
1.3e+18,2020-08-31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @govtechnews: Ransomware during COVID-19 https://t.co/GjWQCElrm1 #security #govtech @govcso https://t.co/BYqwLBfByK,en,0.0,0.0,ILoveBooks786,"security, govtech","govtechnews, govcso",India,RT Ġ@ gov techn ews : ĠR ansom ware Ġduring ĠCO VID - 19 Ġhttps :// t . co / G j W Q CE lr m 1 Ġ# security Ġ# gov tech Ġ@ gov c so Ġhttps :// t . co / BY q w LB f By K,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ gov techn ews : ĠR ansom ware Ġduring ĠCO VID - 19 Ġhttps :// t . co / G j W Q CE lr m 1 Ġ# security Ġ# gov tech Ġ@ gov c so Ġhttps :// t . co / BY q w LB f By K', ('vaccine', 0.5191377997398376), ('infection', 0.31216898560523987), ('death', 0.1686931550502777)]"
1.32e+18,2020-10-11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LBC: Housing Secretary Robert Jenrick admits that further restrictions haven't yet made an impact on parts of the North of England, but…",en,0.0,40.0,DmodosCutter,,LBC,,"RT Ġ@ L BC : ĠHousing ĠSecretary ĠRobert ĠJen rick Ġadmits Ġthat Ġfurther Ġrestrictions Ġhaven 't Ġyet Ġmade Ġan Ġimpact Ġon Ġparts Ġof Ġthe ĠNorth Ġof ĠEngland , Ġbut âĢ¦",-0.2023,0.181,0.694,0.125,neg,"[""RT Ġ@ L BC : ĠHousing ĠSecretary ĠRobert ĠJen rick Ġadmits Ġthat Ġfurther Ġrestrictions Ġhaven 't Ġyet Ġmade Ġan Ġimpact Ġon Ġparts Ġof Ġthe ĠNorth Ġof ĠEngland , Ġbut âĢ¦"", ('infection', 0.3956427574157715), ('vaccine', 0.3731202185153961), ('death', 0.2312370240688324)]"
1.31e+18,2020-10-01,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I can't see my kids but MPs can travel from London to Scotland after a positive covid-19 test? Right. Gotcha. #oneruleforusoneruleforthem,en,0.0,10.0,RobsNotGoneYet,oneruleforusoneruleforthem,,Land of the Geordies,I Ġcan 't Ġsee Ġmy Ġkids Ġbut ĠMPs Ġcan Ġtravel Ġfrom ĠLondon Ġto ĠScotland Ġafter Ġa Ġpositive Ġcov id - 19 Ġtest ? ĠRight . ĠGot cha . Ġ# oner ule for us oner ule fort hem,0.0,0.0,1.0,0.0,neu,"[""I Ġcan 't Ġsee Ġmy Ġkids Ġbut ĠMPs Ġcan Ġtravel Ġfrom ĠLondon Ġto ĠScotland Ġafter Ġa Ġpositive Ġcov id - 19 Ġtest ? ĠRight . ĠGot cha . Ġ# oner ule for us oner ule fort hem"", ('vaccine', 0.5346258282661438), ('infection', 0.3018718957901001), ('death', 0.16350223124027252)]"
1.31e+18,2020-09-25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @USMexicoFound: “One can find many motivating examples of both American and Mexican youth acting to better their communities in the mids…,en,0.0,23.0,victoragamasm,,USMexicoFound,,RT Ġ@ US Mexico Found : ĠâĢ ľ One Ġcan Ġfind Ġmany Ġmotivating Ġexamples Ġof Ġboth ĠAmerican Ġand ĠMexican Ġyouth Ġacting Ġto Ġbetter Ġtheir Ġcommunities Ġin Ġthe Ġmids âĢ¦,0.4404,0.0,0.791,0.209,pos,"['RT Ġ@ US Mexico Found : ĠâĢ ľ One Ġcan Ġfind Ġmany Ġmotivating Ġexamples Ġof Ġboth ĠAmerican Ġand ĠMexican Ġyouth Ġacting Ġto Ġbetter Ġtheir Ġcommunities Ġin Ġthe Ġmids âĢ¦', ('vaccine', 0.5373600125312805), ('infection', 0.3525939881801605), ('death', 0.11004600673913956)]"
1.31e+18,2020-09-29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Coronavirus: Jobs that 'don't fit' with COVID-19 may take a 'long time to come back' https://t.co/jdMtDa0vma https://t.co/aHAMD8cKqv,en,1.0,1.0,danwnews,,,"Cirencester, England",Cor on av irus : ĠJobs Ġthat Ġ' don 't Ġfit ' Ġwith ĠCO VID - 19 Ġmay Ġtake Ġa Ġ' long Ġtime Ġto Ġcome Ġback ' Ġhttps :// t . co / j d M t Da 0 v ma Ġhttps :// t . co / a H AMD 8 c K qv,0.3612,0.0,0.783,0.217,pos,"[""Cor on av irus : ĠJobs Ġthat Ġ' don 't Ġfit ' Ġwith ĠCO VID - 19 Ġmay Ġtake Ġa Ġ' long Ġtime Ġto Ġcome Ġback ' Ġhttps :// t . co / j d M t Da 0 v ma Ġhttps :// t . co / a H AMD 8 c K qv"", ('infection', 0.5620282888412476), ('vaccine', 0.2928209900856018), ('death', 0.14515070617198944)]"
1.31e+18,2020-09-28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @welcometofife: I do love a visit to the beach at any time of the year and we've got lots to choose from in #Fife 🙂 #kirkcaldy #lovefife…,en,0.0,13.0,HeritageKirkca1,"Fife, kirkcaldy",welcometofife,,RT Ġ@ w el com et of ife : ĠI Ġdo Ġlove Ġa Ġvisit Ġto Ġthe Ġbeach Ġat Ġany Ġtime Ġof Ġthe Ġyear Ġand Ġwe 've Ġgot Ġlots Ġto Ġchoose Ġfrom Ġin Ġ# F ife ĠðŁĻĤ Ġ# k irk c ald y Ġ# love f ife âĢ¦,0.6369,0.0,0.625,0.375,pos,"[""RT Ġ@ w el com et of ife : ĠI Ġdo Ġlove Ġa Ġvisit Ġto Ġthe Ġbeach Ġat Ġany Ġtime Ġof Ġthe Ġyear Ġand Ġwe 've Ġgot Ġlots Ġto Ġchoose Ġfrom Ġin Ġ# F ife ĠðŁĻĤ Ġ# k irk c ald y Ġ# love f ife âĢ¦"", ('infection', 0.5640162229537964), ('vaccine', 0.36862266063690186), ('death', 0.06736113876104355)]"
1.31e+18,2020-10-01,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CFBNJ: Today, CFBNJ released a look at the impact of COVID-19 on hunger in NJ. This report uses statistical projections from @FeedingAm…",en,0.0,43.0,RWJBHSocImpact,,CFBNJ,,"RT Ġ@ CF BN J : ĠToday , ĠCF BN J Ġreleased Ġa Ġlook Ġat Ġthe Ġimpact Ġof ĠCO VID - 19 Ġon Ġhunger Ġin ĠNJ . ĠThis Ġreport Ġuses Ġstatistical Ġprojections Ġfrom Ġ@ Feed ing Am âĢ¦",-0.25,0.154,0.846,0.0,neg,"['RT Ġ@ CF BN J : ĠToday , ĠCF BN J Ġreleased Ġa Ġlook Ġat Ġthe Ġimpact Ġof ĠCO VID - 19 Ġon Ġhunger Ġin ĠNJ . ĠThis Ġreport Ġuses Ġstatistical Ġprojections Ġfrom Ġ@ Feed ing Am âĢ¦', ('vaccine', 0.40636327862739563), ('infection', 0.33298444747924805), ('death', 0.2606522738933563)]"
1.31e+18,2020-09-24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @VictimOfMaths: Rates of new confirmed COVID-19 cases across the UK. https://t.co/Z0Ctntm7rM,en,0.0,13.0,_b_meyer,,VictimOfMaths,"Paris, France",RT Ġ@ Vict im Of M aths : ĠRates Ġof Ġnew Ġconfirmed ĠCO VID - 19 Ġcases Ġacross Ġthe ĠUK . Ġhttps :// t . co / Z 0 Ct nt m 7 r M,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ Vict im Of M aths : ĠRates Ġof Ġnew Ġconfirmed ĠCO VID - 19 Ġcases Ġacross Ġthe ĠUK . Ġhttps :// t . co / Z 0 Ct nt m 7 r M', ('vaccine', 0.4735526144504547), ('infection', 0.3680630624294281), ('death', 0.158384308218956)]"
1.31e+18,2020-09-27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good performance by @eddavey on BBC Marr Show earlier. Ed making it plain #libdems need to concentrate on issues th… https://t.co/YObmiWSuVH,en,0.0,150.0,miketmullaney,libdems,eddavey,Hinckley,Good Ġperformance Ġby Ġ@ edd ave y Ġon ĠBBC ĠMar r ĠShow Ġearlier . ĠEd Ġmaking Ġit Ġplain Ġ# lib d ems Ġneed Ġto Ġconcentrate Ġon Ġissues Ġth âĢ¦ Ġhttps :// t . co / Y Ob mi W Su V H,0.4404,0.0,0.805,0.195,pos,"['Good Ġperformance Ġby Ġ@ edd ave y Ġon ĠBBC ĠMar r ĠShow Ġearlier . ĠEd Ġmaking Ġit Ġplain Ġ# lib d ems Ġneed Ġto Ġconcentrate Ġon Ġissues Ġth âĢ¦ Ġhttps :// t . co / Y Ob mi W Su V H', ('vaccine', 0.42529797554016113), ('death', 0.3176708221435547), ('infection', 0.2570312023162842)]"
1.31e+18,2020-09-27,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Join partner Dennis Mele on September 29th for Greenspoon Marder’s Innovation Summit as he leads the “Government Pe… https://t.co/AUPFgFigrR,en,0.0,174.0,GMLaw_Tweets,,,United States,Join Ġpartner ĠDennis ĠMe le Ġon ĠSeptember Ġ29 th Ġfor ĠGreens poon ĠM ard er âĢ Ļ s ĠInnovation ĠSummit Ġas Ġhe Ġleads Ġthe ĠâĢ ľ Government ĠPe âĢ¦ Ġhttps :// t . co / A UP F g F igr R,0.296,0.0,0.845,0.155,pos,"['Join Ġpartner ĠDennis ĠMe le Ġon ĠSeptember Ġ29 th Ġfor ĠGreens poon ĠM ard er âĢ Ļ s ĠInnovation ĠSummit Ġas Ġhe Ġleads Ġthe ĠâĢ ľ Government ĠPe âĢ¦ Ġhttps :// t . co / A UP F g F igr R', ('infection', 0.4517935514450073), ('vaccine', 0.38853901624679565), ('death', 0.1596674919128418)]"
1.3e+18,2020-09-02,"<a href=""https://www.covid-19worldstats.com/"" rel=""nofollow"">covid19worldstats</a>",New COVID-19 cases at colleges and concerns for US Open bubble l GMA(Source: Good Morning America) click here --&gt; https://t.co/H4mgOQIUpF,en,1.0,1.0,cov_19worldstat,,,,New ĠCO VID - 19 Ġcases Ġat Ġcolleges Ġand Ġconcerns Ġfor ĠUS ĠOpen Ġbubble Ġl ĠG MA ( Source : ĠGood ĠMorning ĠAmerica ) Ġclick Ġhere Ġ-- & gt ; Ġhttps :// t . co / H 4 mg O Q I Up F,0.6124,0.0,0.706,0.294,pos,"['New ĠCO VID - 19 Ġcases Ġat Ġcolleges Ġand Ġconcerns Ġfor ĠUS ĠOpen Ġbubble Ġl ĠG MA ( Source : ĠGood ĠMorning ĠAmerica ) Ġclick Ġhere Ġ-- & gt ; Ġhttps :// t . co / H 4 mg O Q I Up F', ('vaccine', 0.7758855819702148), ('infection', 0.16623292863368988), ('death', 0.057881563901901245)]"
1.32e+18,2020-10-15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AbhaPaulina: And it’s Sunshine on Leith #leith #scotland #friday #sunshine #StaySafe @VisitScotland https://t.co/ZeaszjPoC3,en,0.0,0.0,clarbright,"leith, scotland, friday, sunshine, StaySafe","AbhaPaulina, VisitScotland",Switzerland,RT Ġ@ Ab ha Paul ina : ĠAnd Ġit âĢ Ļ s ĠSunshine Ġon ĠLe ith Ġ# le ith Ġ# sc ot land Ġ# fr iday Ġ# sun shine Ġ# Stay Safe Ġ@ Visit Scotland Ġhttps :// t . co / Z eas z j Po C 3,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ Ab ha Paul ina : ĠAnd Ġit âĢ Ļ s ĠSunshine Ġon ĠLe ith Ġ# le ith Ġ# sc ot land Ġ# fr iday Ġ# sun shine Ġ# Stay Safe Ġ@ Visit Scotland Ġhttps :// t . co / Z eas z j Po C 3', ('vaccine', 0.6565712690353394), ('infection', 0.2422308623790741), ('death', 0.10119782388210297)]"
1.31e+18,2020-10-09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",South African Rapper Cassper Nyovest Tests Positive of COVID 19 (NEWS | ... https://t.co/BhbhZKKq44 https://t.co/DCVF9udqja,en,0.0,132.0,PlusTVAfrica,,,"Lagos, Nigeria",South ĠAfrican ĠR apper ĠCass per ĠNy ov est ĠTests ĠPositive Ġof ĠCO VID Ġ19 Ġ( NEWS Ġ| Ġ... Ġhttps :// t . co / B h bh Z KK q 44 Ġhttps :// t . co / DC V F 9 ud q ja,0.0,0.0,1.0,0.0,neu,"['South ĠAfrican ĠR apper ĠCass per ĠNy ov est ĠTests ĠPositive Ġof ĠCO VID Ġ19 Ġ( NEWS Ġ| Ġ... Ġhttps :// t . co / B h bh Z KK q 44 Ġhttps :// t . co / DC V F 9 ud q ja', ('infection', 0.4357486665248871), ('vaccine', 0.3703136742115021), ('death', 0.19393762946128845)]"
1.31e+18,2020-09-15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @cirian75: Motherfuker!!!!  I share a house  A guy has been living away ever since covid-19 came back on Saturday  Got a positive test o…,en,0.0,11.0,KF2503,,cirian75,Canterbury,RT Ġ@ c ir ian 75 : ĠMother f uk er !!!! Ġ ĠI Ġshare Ġa Ġhouse Ġ ĠA Ġguy Ġhas Ġbeen Ġliving Ġaway Ġever Ġsince Ġcov id - 19 Ġcame Ġback Ġon ĠSaturday Ġ ĠGot Ġa Ġpositive Ġtest Ġo âĢ¦,0.296,0.0,0.864,0.136,pos,"['RT Ġ@ c ir ian 75 : ĠMother f uk er !!!! Ġ ĠI Ġshare Ġa Ġhouse Ġ ĠA Ġguy Ġhas Ġbeen Ġliving Ġaway Ġever Ġsince Ġcov id - 19 Ġcame Ġback Ġon ĠSaturday Ġ ĠGot Ġa Ġpositive Ġtest Ġo âĢ¦', ('infection', 0.8200531005859375), ('death', 0.09387634694576263), ('vaccine', 0.08607058972120285)]"
1.3e+18,2020-09-12,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @jgopikrishnan70: Nirav Modi gang is pumping money...asked me to write about his case for a London based Magazine. I said pay in advance…,en,0.0,9533.0,iAsharma19,,jgopikrishnan70,भारत वर्ष,RT Ġ@ j g op ik rish nan 70 : ĠNir av ĠModi Ġgang Ġis Ġpumping Ġmoney ... ask ed Ġme Ġto Ġwrite Ġabout Ġhis Ġcase Ġfor Ġa ĠLondon Ġbased ĠMagazine . ĠI Ġsaid Ġpay Ġin Ġadvance âĢ¦,-0.1027,0.097,0.903,0.0,neg,"['RT Ġ@ j g op ik rish nan 70 : ĠNir av ĠModi Ġgang Ġis Ġpumping Ġmoney ... ask ed Ġme Ġto Ġwrite Ġabout Ġhis Ġcase Ġfor Ġa ĠLondon Ġbased ĠMagazine . ĠI Ġsaid Ġpay Ġin Ġadvance âĢ¦', ('vaccine', 0.536428689956665), ('infection', 0.32132720947265625), ('death', 0.1422441005706787)]"
1.31e+18,2020-09-13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Column: I had COVID-19, and these are the things nobody tells you https://t.co/ye2pvqafxz Wow!  Blindsided by one bad decision.",en,0.0,40.0,KarenHe14320359,,,,"Column : ĠI Ġhad ĠCO VID - 19 , Ġand Ġthese Ġare Ġthe Ġthings Ġnobody Ġtells Ġyou Ġhttps :// t . co / ye 2 p v q af x z ĠWow ! Ġ ĠBlind sided Ġby Ġone Ġbad Ġdecision .",0.0772,0.229,0.523,0.248,pos,"['Column : ĠI Ġhad ĠCO VID - 19 , Ġand Ġthese Ġare Ġthe Ġthings Ġnobody Ġtells Ġyou Ġhttps :// t . co / ye 2 p v q af x z ĠWow ! Ġ ĠBlind sided Ġby Ġone Ġbad Ġdecision .', ('infection', 0.41176772117614746), ('vaccine', 0.342415452003479), ('death', 0.24581676721572876)]"
